i1	00001740-a
i2	00002098-a
i3	00002312-a
i4	00002527-a
i5	00002730-a
i6	00002843-a
i7	00002956-a
i8	00003131-a
i9	00003356-a
i10	00003553-s
i11	00003700-s
i12	00003829-s
i13	00003939-a
i14	00004171-s
i15	00004296-s
i16	00004413-a
i17	00004615-s
i18	00004723-s
i19	00004817-s
i20	00004980-a
i21	00005107-s
i22	00005205-a
i23	00005473-s
i24	00005599-s
i25	00005718-s
i26	00005839-s
i27	00006032-a
i28	00006245-s
i29	00006336-a
i30	00006777-s
i31	00006885-s
i32	00007096-s
i33	00007208-s
i34	00007331-s
i35	00007516-s
i36	00007697-s
i37	00007813-a
i38	00007990-s
i39	00008206-a
i40	00008443-s
i41	00008595-a
i42	00008734-a
i43	00008877-a
i44	00009046-a
i45	00009346-s
i46	00009618-s
i47	00009978-a
i48	00010385-s
i49	00010537-s
i50	00010726-s
i51	00011160-s
i52	00011327-s
i53	00011665-s
i54	00011757-a
i55	00012071-s
i56	00012362-s
i57	00012689-s
i58	00012932-s
i59	00013160-a
i60	00013442-s
i61	00013662-s
i62	00013887-a
i63	00014358-s
i64	00014490-s
i65	00014858-s
i66	00015097-s
i67	00015247-s
i68	00015480-s
i69	00015589-s
i70	00015720-s
i71	00015854-s
i72	00016005-s
i73	00016135-s
i74	00016247-s
i75	00016350-s
i76	00016532-s
i77	00016647-s
i78	00016756-a
i79	00017024-s
i80	00017186-s
i81	00017352-a
i82	00017509-s
i83	00017688-a
i84	00017782-a
i85	00018069-s
i86	00018222-s
i87	00018435-s
i88	00018584-a
i89	00018850-s
i90	00019131-a
i91	00019349-s
i92	00019505-s
i93	00019731-s
i94	00019874-a
i95	00020103-s
i96	00020241-s
i97	00020410-s
i98	00020647-s
i99	00020787-a
i100	00021110-s
i101	00021403-a
i102	00021592-s
i103	00021766-a
i104	00022219-s
i105	00022437-s
i106	00022680-s
i107	00022852-s
i108	00022962-s
i109	00023120-s
i110	00023278-s
i111	00023383-a
i112	00023655-s
i113	00023854-s
i114	00024139-s
i115	00024241-s
i116	00024417-a
i117	00024619-s
i118	00024834-a
i119	00024996-s
i120	00025138-s
i121	00025238-a
i122	00025470-s
i123	00025633-s
i124	00025728-a
i125	00026051-s
i126	00026168-s
i127	00026294-s
i128	00026388-s
i129	00026515-a
i130	00026706-a
i131	00026895-s
i132	00027074-a
i133	00027247-a
i134	00027599-s
i135	00027833-s
i136	00028008-s
i137	00028181-s
i138	00028280-s
i139	00028471-s
i140	00028672-a
i141	00028867-s
i142	00028984-s
i143	00029108-s
i144	00029216-s
i145	00029343-a
i146	00029769-s
i147	00029933-s
i148	00030508-s
i149	00030701-s
i150	00030798-s
i151	00031138-s
i152	00031384-s
i153	00031533-a
i154	00031674-a
i155	00031824-a
i156	00031974-a
i157	00032358-s
i158	00032497-s
i159	00032733-s
i160	00033077-s
i161	00033206-s
i162	00033359-s
i163	00033475-s
i164	00033574-a
i165	00033886-s
i166	00034032-s
i167	00034232-s
i168	00034322-s
i169	00034572-s
i170	00034710-a
i171	00034924-s
i172	00035074-a
i173	00035254-s
i174	00035368-s
i175	00035465-a
i176	00035779-s
i177	00035868-s
i178	00035978-s
i179	00036163-s
i180	00036254-s
i181	00036346-s
i182	00036481-a
i183	00036763-s
i184	00036879-s
i185	00036998-s
i186	00037188-s
i187	00037341-s
i188	00037457-a
i189	00037653-s
i190	00037757-a
i191	00037985-s
i192	00038119-s
i193	00038260-s
i194	00038462-s
i195	00038623-s
i196	00038750-a
i197	00039122-s
i198	00039259-s
i199	00039394-s
i200	00039592-a
i201	00039929-s
i202	00040058-s
i203	00040325-a
i204	00040534-s
i205	00040685-a
i206	00040909-s
i207	00041051-a
i208	00041202-s
i209	00041361-a
i210	00041488-s
i211	00041618-a
i212	00041841-a
i213	00042037-a
i214	00042228-a
i215	00042457-a
i216	00042692-s
i217	00042837-s
i218	00042982-s
i219	00043125-a
i220	00043231-s
i221	00043411-a
i222	00043615-a
i223	00043765-a
i224	00044132-s
i225	00044353-a
i226	00044608-s
i227	00044760-a
i228	00044987-s
i229	00045123-a
i230	00045356-s
i231	00045561-a
i232	00045735-s
i233	00045888-s
i234	00046014-a
i235	00046109-a
i236	00046339-s
i237	00046471-s
i238	00046558-s
i239	00046673-a
i240	00046792-s
i241	00046955-s
i242	00047029-a
i243	00047243-s
i244	00047406-s
i245	00047566-a
i246	00047653-s
i247	00047786-a
i248	00047954-a
i249	00048129-a
i250	00048460-s
i251	00048706-s
i252	00048858-s
i253	00049016-s
i254	00049266-s
i255	00049469-s
i256	00049683-s
i257	00049879-s
i258	00050083-a
i259	00050260-s
i260	00050446-s
i261	00050641-a
i262	00050799-s
i263	00050947-a
i264	00051045-a
i265	00051373-s
i266	00051571-s
i267	00051696-a
i268	00052012-s
i269	00052246-s
i270	00052431-s
i271	00052672-a
i272	00053032-s
i273	00053154-s
i274	00053248-s
i275	00053384-s
i276	00053564-s
i277	00053691-s
i278	00054109-s
i279	00054201-s
i280	00054278-s
i281	00054364-s
i282	00054541-s
i283	00054667-s
i284	00054804-s
i285	00054908-a
i286	00055041-s
i287	00055142-s
i288	00055256-s
i289	00055340-a
i290	00055539-a
i291	00055765-a
i292	00055906-a
i293	00056002-a
i294	00056660-s
i295	00056849-s
i296	00056943-s
i297	00057149-s
i298	00057390-s
i299	00057490-s
i300	00057566-s
i301	00057737-s
i302	00057881-s
i303	00057992-s
i304	00058280-s
i305	00058379-s
i306	00058554-s
i307	00058696-s
i308	00058822-s
i309	00058929-s
i310	00059028-s
i311	00059131-s
i312	00059201-s
i313	00059326-s
i314	00059491-s
i315	00059669-s
i316	00059782-s
i317	00059965-s
i318	00060053-s
i319	00060151-s
i320	00060294-s
i321	00060397-a
i322	00060605-s
i323	00060875-s
i324	00060969-a
i325	00061088-a
i326	00061262-a
i327	00061664-s
i328	00061885-s
i329	00062152-s
i330	00062367-s
i331	00062626-s
i332	00062740-s
i333	00063087-s
i334	00063277-a
i335	00063563-s
i336	00063953-s
i337	00064176-s
i338	00064365-s
i339	00064479-a
i340	00064787-s
i341	00065064-s
i342	00065184-s
i343	00065488-a
i344	00065667-s
i345	00065791-a
i346	00066146-s
i347	00066565-s
i348	00066703-s
i349	00066800-a
i350	00066933-s
i351	00067038-a
i352	00067379-s
i353	00067638-s
i354	00067767-a
i355	00067966-a
i356	00068180-s
i357	00068278-a
i358	00068566-a
i359	00068738-s
i360	00068883-s
i361	00069060-a
i362	00069217-a
i363	00069427-a
i364	00069531-a
i365	00069948-s
i366	00070111-s
i367	00070288-s
i368	00070427-s
i369	00070583-a
i370	00070839-s
i371	00070939-a
i372	00071142-s
i373	00071242-s
i374	00071427-s
i375	00071559-s
i376	00071739-s
i377	00071897-s
i378	00071992-a
i379	00072281-s
i380	00072436-s
i381	00072673-s
i382	00072790-s
i383	00073048-a
i384	00073358-s
i385	00073465-s
i386	00073761-s
i387	00073935-s
i388	00074094-s
i389	00074216-s
i390	00074346-a
i391	00074594-s
i392	00074741-s
i393	00074867-s
i394	00075019-s
i395	00075135-a
i396	00075389-s
i397	00075515-a
i398	00075737-s
i399	00075952-a
i400	00076127-s
i401	00076341-a
i402	00076580-s
i403	00076739-s
i404	00076921-a
i405	00077059-s
i406	00077196-s
